mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,42,2,True,1,2,128,2,39,0.7627492881974945,0.4560281876051181,0.504950495049505,0.11437908496732026
5,700,50,64,128,2,True,42,1,2,128,2,39,0.7004024742645193,0.6220071959294032,0.5057851239669422,0.24509803921568626
5,700,40,64,128,2,True,42,1,2,128,2,39,0.6492899062803245,0.5585233398554486,0.5015873015873016,0.10759493670886076
5,700,70,64,128,2,True,42,1,2,128,2,39,0.5663628114686178,0.8608391608391608,0.500875656742557,0.33916083916083917
