mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ONE_HOT,700,50,64,128,23,2,True,1,2,128,2,116,0.7474994559117594,0.5235602094240838,0.503957783641161,0.29581151832460734
LoadMode.MOST_COMMON_ONLY,700,50,64,128,23,2,True,1,2,128,2,116,0.7525875951818424,0.606806282722513,0.503957783641161,0.3298429319371728
LoadMode.MOST_COMMON_ONLY,700,50,64,128,23,2,True,1,2,128,2,116,0.7417245944027441,0.6743455497382199,0.503957783641161,0.35602094240837695
LoadMode.MOST_COMMON_ONLY,700,50,64,128,23,2,True,1,2,128,2,116,0.7208996987846505,0.5418848167539266,0.45161290322580644,0.04712041884816754
LoadMode.MOST_COMMON_ONLY,700,50,64,128,23,2,True,1,2,128,2,116,0.6735437278192798,0.6068062827225131,0.5013123359580053,0.07068062827225131
LoadMode.SMALL_ALPHABET,700,50,64,128,23,2,True,1,2,128,2,81,0.6516256027207126,0.6225130890052355,0.5013123359580053,0.13350785340314136
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,23,2,True,1,2,128,2,39,0.7374018205267829,0.643455497382199,0.5013123359580053,0.3219895287958115
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,23,2,True,1,2,512,2,39,0.5032938076416338,1.0,0.5032938076416338,1.0
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,23,2,True,1,2,128,2,39,0.7282406560403171,0.5151832460732985,0.5032938076416338,0.20680628272251309
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,23,2,True,1,2,128,2,39,0.7477741472304086,0.6424083769633507,0.5052910052910053,0.36910994764397903
5,700,40,64,128,2,True,23,1,2,128,2,39,0.6766124485369353,0.6596938775510204,0.5012787723785166,0.4260204081632653
5,700,70,64,128,2,True,23,1,2,128,2,39,0.5889879737202438,0.6922651933701658,0.5013850415512465,0.19060773480662985
