mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,41,2,True,1,2,128,2,39,0.8899068745316748,0.5351158768592181,0.7058823529411765,0.08163265306122448
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,41,2,True,1,2,512,2,39,0.8933031500424382,0.5908013374841461,0.6666666666666666,0.061224489795918366
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,41,2,True,1,2,128,2,39,0.9103314986985852,0.557394211922057,0.7777777777777778,0.07142857142857142
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,41,2,True,1,2,128,2,39,0.8943094180821841,0.6232745301510435,0.6875,0.07482993197278912
5,700,40,64,128,2,True,41,1,2,128,2,39,0.8664154850104483,0.5390681622088007,0.6444444444444445,0.09539473684210527
5,700,70,64,128,2,True,41,1,2,128,2,39,0.7484650984263987,0.6542720637027207,0.5,0.010948905109489052
