mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ONE_HOT,700,50,64,128,21,2,True,1,2,128,2,116,0.9597446411922675,0.85441829004329,0.8985074626865671,0.7402597402597403
LoadMode.MOST_COMMON_ONLY,700,50,64,128,21,2,True,1,2,128,2,116,0.9477627412324259,0.8455681818181817,0.8992628992628993,0.765625
LoadMode.SMALL_ALPHABET,700,50,64,128,21,2,True,1,2,128,2,81,0.9600920595664435,0.6707738095238095,0.8930041152263375,0.5651041666666666
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,21,2,True,1,2,128,2,39,0.9392374521263515,0.7337594696969697,0.9100719424460432,0.6588541666666666
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,21,2,True,1,2,512,2,39,0.8454618167835809,0.7387310606060605,0.505249343832021,0.359375
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,21,2,True,1,2,128,2,39,0.9268058595231186,0.6499431818181819,0.8848484848484849,0.3802083333333333
5,700,40,64,128,2,True,21,1,2,128,2,39,0.9093927568211824,0.6922572768746387,0.8116438356164384,0.6015228426395939
5,700,70,64,128,2,True,21,1,2,128,2,39,0.9150846414878897,0.8250398916152341,0.8310502283105022,0.6978021978021978
