mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ONE_HOT,700,50,64,128,62,2,True,1,2,128,2,116,0.973653186867361,0.8042535664054651,0.948905109489051,0.6360759493670886
LoadMode.MOST_COMMON_ONLY,700,50,64,128,62,2,True,1,2,128,2,116,0.8554688533826461,0.7845549527828009,0.5031847133757962,0.6158730158730159
LoadMode.MOST_COMMON_ONLY,700,50,64,128,62,2,True,1,2,128,2,116,0.9314087288109096,0.8930058268032951,0.8489010989010989,0.7816455696202531
LoadMode.SMALL_ALPHABET,700,50,64,128,62,2,True,1,2,128,2,81,0.8632970985800646,0.8269439421338156,0.5163934426229508,0.7587301587301587
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,62,2,True,1,2,128,2,39,0.8862597761633653,0.8258087201125175,0.7557251908396947,0.6075949367088608
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,62,2,True,1,2,512,2,39,0.8452118473244135,0.8726100060277275,0.5031847133757962,0.7911392405063291
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,62,2,True,1,2,128,2,39,0.950851462471509,0.8764556962025315,0.9375,0.6645569620253164
5,700,70,64,128,2,True,62,1,2,128,2,39,0.8006440935545405,0.8857237746220796,0.5165794066317626,0.722972972972973
