mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.MOST_COMMON_ONLY,700,50,64,128,26,2,True,1,2,128,2,116,0.924448215568451,0.6645861549561409,0.8857142857142857,0.46851385390428213
LoadMode.MOST_COMMON_ONLY,700,50,64,128,26,2,True,1,2,128,2,116,0.8230432172436559,0.8151692807471701,0.5076923076923077,0.4020100502512563
LoadMode.SMALL_ALPHABET,700,50,64,128,26,2,True,1,2,128,2,81,0.8726642098630725,0.766802526486336,0.6712328767123288,0.5894206549118388
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,26,2,True,1,2,128,2,39,0.6544517895209335,0.548110831234257,0.0,0.0
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,26,2,True,1,2,128,2,39,0.8939048900142538,0.6329101426528106,0.8284182305630027,0.4760705289672544
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,26,2,True,1,2,512,2,39,0.7227113374958787,0.8394541979418504,0.5044472681067345,0.672544080604534
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,26,2,True,1,2,128,2,39,0.906481107620573,0.6691480070377074,0.8779761904761905,0.5566750629722922
5,700,40,64,128,2,True,26,1,2,128,2,39,0.8471973496788185,0.6331490581490581,0.76,0.515970515970516
5,700,70,64,128,2,True,26,1,2,128,2,39,0.8231209720453906,0.6033093343438172,0.7475961538461539,0.46153846153846156
