mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,40,2,True,1,2,128,2,39,0.9003100023521335,0.5243589743589744,0.8809523809523809,0.3173076923076923
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,40,2,True,1,2,512,2,39,0.7836819131488294,0.5974358974358974,0.6238244514106583,0.18269230769230768
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,40,2,True,1,2,128,2,39,0.8996507816083288,0.4237179487179487,0.8333333333333334,0.14423076923076922
5,700,40,64,128,2,True,40,1,2,128,2,39,0.8080663398350125,0.5714285714285714,0.5054945054945055,0.2639751552795031
5,700,70,64,128,2,True,40,1,2,128,2,39,0.7492158815794836,0.49520547945205484,0.5060658578856152,0.21575342465753425
