mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ONE_HOT,700,50,64,128,61,2,True,1,2,128,2,116,0.9017885432301339,0.8676406073031211,0.8228438228438228,0.6595174262734584
LoadMode.SMALL_ALPHABET,700,50,64,128,61,2,True,1,2,128,2,81,0.9555281052777855,0.8801178477727918,0.9034653465346535,0.6283422459893048
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,61,2,True,1,2,128,2,39,0.926205573957205,0.8569597568493641,0.8637602179836512,0.6836461126005362
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,61,2,True,1,2,512,2,39,0.7456282069408056,0.9523619733050422,0.5061058344640434,0.8449197860962567
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,61,2,True,1,2,128,2,39,0.932094091612995,0.854839357141833,0.90625,0.7560321715817694
5,700,40,64,128,2,True,61,1,2,128,2,39,0.8707123921153105,0.8946230417754568,0.7912371134020618,0.8015665796344648
5,700,70,64,128,2,True,61,1,2,128,2,39,0.8308666147121716,0.9694227045021687,0.7657266811279827,0.8923512747875354
