mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.MOST_COMMON_ONLY,700,50,64,128,82,2,True,1,2,128,2,116,0.8964344150618985,0.8231265887137773,0.8557692307692307,0.6334519572953736
LoadMode.SMALL_ALPHABET,700,50,64,128,82,2,True,1,2,128,2,81,0.8795631668464807,0.8105033045246568,0.8441558441558441,0.3701067615658363
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,82,2,True,1,2,128,2,39,0.9091822452224052,0.8138967971530249,0.8364779874213837,0.597864768683274
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,82,2,True,1,2,128,2,39,0.9316134770698434,0.798914590747331,0.8710801393728222,0.6178571428571429
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,82,2,True,1,2,512,2,39,0.9034619731006248,0.8053660396542959,0.8409785932721713,0.5088967971530249
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,82,2,True,1,2,128,2,39,0.9238988969511952,0.7925343162175903,0.871875,0.45907473309608543
5,700,40,64,128,2,True,82,1,2,128,2,39,0.9187497576080489,0.8366844412845124,0.8456973293768546,0.6689655172413793
5,700,70,64,128,2,True,82,1,2,128,2,39,0.8819644238685557,0.850271146478043,0.8312101910828026,0.6475095785440613
