mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ONE_HOT,700,50,64,128,25,2,True,1,2,128,2,116,0.9590362886749869,0.9324579831932773,0.9100719424460432,0.8571428571428571
LoadMode.MOST_COMMON_ONLY,700,50,64,128,25,2,True,1,2,128,2,116,0.9517149553556996,0.9411764705882353,0.8722044728434505,0.8382352941176471
LoadMode.SMALL_ALPHABET,700,50,64,128,25,2,True,1,2,128,2,81,0.944187386762944,0.9111748545572075,0.8888888888888888,0.8021978021978022
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,25,2,True,1,2,128,2,39,0.9717637785070756,0.8096719457013576,0.9591836734693877,0.6801470588235294
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,25,2,True,1,2,128,2,39,0.9794247969175357,0.839110644257703,0.9757085020242915,0.6433823529411765
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,25,2,True,1,2,512,2,39,0.9798881251613489,0.8501023486317605,0.9681818181818181,0.7352941176470589
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,25,2,True,1,2,128,2,39,0.9673002341975554,0.8898055375996552,0.9384057971014492,0.7720588235294118
5,700,40,64,128,2,True,25,1,2,128,2,39,0.9719298943008046,0.8958624664812168,0.9454545454545454,0.7659574468085106
5,700,70,64,128,2,True,25,1,2,128,2,39,0.9266343341062285,0.9334588117196813,0.8129032258064516,0.841897233201581
