mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,85,2,True,1,2,128,2,39,0.9330928490290475,0.6021680216802168,0.8571428571428571,0.45528455284552843
5,700,40,64,128,2,True,85,1,2,128,2,39,0.9094859681465219,0.7034300791556729,0.8647058823529412,0.41952506596306066
5,700,70,64,128,2,True,85,1,2,128,2,39,0.8964141563216403,0.73810888252149,0.8501291989664083,0.4326647564469914
