mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.MOST_COMMON_ONLY,700,50,64,128,81,2,True,1,2,128,2,116,0.9510109884928261,0.7261663286004056,0.9207161125319693,0.6531440162271805
LoadMode.SMALL_ALPHABET,700,50,64,128,81,2,True,1,2,128,2,81,0.940864735229512,0.710344827586207,0.912718204488778,0.6125760649087221
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,81,2,True,1,2,128,2,39,0.9306053332908804,0.7257606490872212,0.9030303030303031,0.6044624746450304
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,81,2,True,1,2,512,2,39,0.918509356260102,0.6851926977687627,0.9066265060240963,0.6105476673427992
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,81,2,True,1,2,128,2,39,0.9141338476924347,0.686815415821501,0.844776119402985,0.5740365111561866
5,700,40,64,128,2,True,81,1,2,128,2,39,0.8736050391439572,0.714910536779324,0.8315217391304348,0.5427435387673957
5,700,70,64,128,2,True,81,1,2,128,2,39,0.7351218971508248,0.8389006342494714,0.5124593716143012,0.6448202959830867
