mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ONE_HOT,700,50,64,128,60,2,True,1,2,128,2,116,0.7368831532503022,0.6058902889143438,0.5031120331950207,0.06584362139917696
LoadMode.MOST_COMMON_ONLY,700,50,64,128,60,2,True,1,2,128,2,116,0.6543167997755273,0.5462305375249248,0.0,0.0
LoadMode.MOST_COMMON_ONLY,700,50,64,128,60,2,True,1,2,128,2,116,0.8220460638812783,0.7816630605404946,0.5031055900621118,0.44123711340206184
LoadMode.MOST_COMMON_ONLY,700,50,64,128,60,2,True,1,2,128,2,116,0.7175707414884936,0.7184266911539637,0.0,0.0
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,60,2,True,1,2,128,2,39,0.7493079787616359,0.7350982139069195,0.5031055900621118,0.28865979381443296
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,60,2,True,1,2,512,2,39,0.6597372037987755,0.8666666666666666,0.5020703933747412,0.6213991769547325
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,60,2,True,1,2,128,2,39,0.877657705272959,0.6775206821942218,0.7913043478260869,0.3752577319587629
5,700,40,64,128,2,True,60,1,2,128,2,39,0.5751321907133626,0.8634424894102313,0.5061224489795918,0.3373737373737374
5,700,70,64,128,2,True,60,1,2,128,2,39,0.6123465485262243,0.8624098943190732,0.5087336244541485,0.4150537634408602
