mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,83,2,True,1,2,512,2,39,0.5681271909374059,0.8650455927051672,0.5030581039755352,0.5045592705167173
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,83,2,True,1,2,128,2,39,0.6443511320026697,0.5037321543704522,0.0,0.0
5,700,40,64,128,2,True,83,1,2,128,2,39,0.7667845047614605,0.68514662502169,0.5123076923076924,0.4896755162241888
5,700,70,64,128,2,True,83,1,2,128,2,39,0.6783278372081349,0.780962522183944,0.5073891625615764,0.47096774193548385
5,700,40,64,128,2,True,83,1,2,128,2,42,0.7943637752572763,0.7457834461218115,0.17647058823529413,0.008823529411764706
